DateRep	WT	Alpha	Delta	BA1	BA2	BA5	BQ1__BA2_75	XBB_	BA2_86	KP3
2020-03-04	0.999629423537892	0	0	0	0	0	0	0	0	0
2020-03-05	0.999629739002761	0	0	0	0	0	0	0	0	0
2020-03-06	0.999630047295143	0	0	0	0	0	0	0	0	0
2020-03-07	0.999630348235404	0	0	0	0	0	0	0	0	0
2020-03-08	0.999630641644124	0	0	0	0	0	0	0	0	0
2020-03-09	0.999630927342057	0	0	0	0	0	0	0	0	0
2020-03-10	0.99963120515009	0	0	0	0	0	0	0	0	0
2020-03-11	0.999631474889207	0	0	0	0	0	0	0	0	0
2020-03-12	0.999631736380445	0	0	0	0	0	0	0	0	0
2020-03-13	0.999631989444854	0	0	0	0	0	0	0	0	0
2020-03-14	0.999632233903454	0	0	0	0	0	0	0	0	0
2020-03-15	0.999632469577194	0	0	0	0	0	0	0	0	0
2020-03-16	0.999632696286902	0	0	0	0	0	0	0	0	0
2020-03-17	0.999632913853248	0	0	0	0	0	0	0	0	0
2020-03-18	0.999633122096689	0	0	0	0	0	0	0	0	0
2020-03-19	0.999633320837428	0	0	0	0	0	0	0	0	0
2020-03-20	0.999633509895363	0	0	0	0	0	0	0	0	0
2020-03-21	0.999633689090038	0	0	0	0	0	0	0	0	0
2020-03-22	0.999633858240594	0	0	0	0	0	0	0	0	0
2020-03-23	0.999634017165718	0	0	0	0	0	0	0	0	0
2020-03-24	0.99963416568359	0	0	0	0	0	0	0	0	0
2020-03-25	0.99963430361183	0	0	0	0	0	0	0	0	0
2020-03-26	0.999634430767444	0	0	0	0	0	0	0	0	0
2020-03-27	0.999634546966767	0	0	0	0	0	0	0	0	0
2020-03-28	0.999634652025413	0	0	0	0	0	0	0	0	0
2020-03-29	0.999634745758209	0	0	0	0	0	0	0	0	0
2020-03-30	0.999634827979144	0	0	0	0	0	0	0	0	0
2020-03-31	0.999634898501303	0	0	0	0	0	0	0	0	0
2020-04-01	0.999634957136813	0	0	0	0	0	0	0	0	0
2020-04-02	0.999635003696777	0	0	0	0	0	0	0	0	0
2020-04-03	0.999635037991211	0	0	0	0	0	0	0	0	0
2020-04-04	0.999635059828982	0	0	0	0	0	0	0	0	0
2020-04-05	0.999635069017743	0	0	0	0	0	0	0	0	0
2020-04-06	0.999635065363861	0	0	0	0	0	0	0	0	0
2020-04-07	0.999635048672359	0	0	0	0	0	0	0	0	0
2020-04-08	0.999635018746837	0	0	0	0	0	0	0	0	0
2020-04-09	0.999634975389407	0	0	0	0	0	0	0	0	0
2020-04-10	0.999634918400622	0	0	0	0	0	0	0	0	0
2020-04-11	0.9996348475794	0	0	0	0	0	0	0	0	0
2020-04-12	0.999634762722951	0	0	0	0	0	0	0	0	0
2020-04-13	0.9996346636267	0	0	0	0	0	0	0	0	0
2020-04-14	0.999634550084214	0	0	0	0	0	0	0	0	0
2020-04-15	0.999634421887117	0	0	0	0	0	0	0	0	0
2020-04-16	0.999634278825015	0	0	0	0	0	0	0	0	0
2020-04-17	0.999634120685409	0	0	0	0	0	0	0	0	0
2020-04-18	0.999633947253619	0	0	0	0	0	0	0	0	0
2020-04-19	0.999633758312692	0	0	0	0	0	0	0	0	0
2020-04-20	0.999633553665391	0	0	0	0	0	0	0	0	0
2020-04-21	0.999633333508589	0	0	0	0	0	0	0	0	0
2020-04-22	0.999633098380892	0	0	0	0	0	0	0	0	0
2020-04-23	0.999632848831797	0	0	0	0	0	0	0	0	0
2020-04-24	0.999632585410629	0	0	0	0	0	0	0	0	0
2020-04-25	0.999632308666754	0	0	0	0	0	0	0	0	0
2020-04-26	0.99963201914979	0	0	0	0	0	0	0	0	0
2020-04-27	0.999631717409806	0	0	0	0	0	0	0	0	0
2020-04-28	0.999631403997514	0	0	0	0	0	0	0	0	0
2020-04-29	0.999631079464452	0	0	0	0	0	0	0	0	0
2020-04-30	0.999630744363163	0	0	0	0	0	0	0	0	0
2020-05-01	0.999630399247353	0	0	0	0	0	0	0	0	0
2020-05-02	0.999630044672059	0	0	0	0	0	0	0	0	0
2020-05-03	0.999629681193793	0	0	0	0	0	0	0	0	0
2020-05-04	0.999629309370684	0	0	0	0	0	0	0	0	0
2020-05-05	0.999628929762613	0	0	0	0	0	0	0	0	0
2020-05-06	0.999628542931335	0	0	0	0	0	0	0	0	0
2020-05-07	0.999628149440596	0	0	0	0	0	0	0	0	0
2020-05-08	0.999627749856242	0	0	0	0	0	0	0	0	0
2020-05-09	0.999627344746315	0	0	0	0	0	0	0	0	0
2020-05-10	0.999626934681145	0	0	0	0	0	0	0	0	0
2020-05-11	0.999626520233431	0	0	0	0	0	0	0	0	0
2020-05-12	0.999626101978312	0	0	0	0	0	0	0	0	0
2020-05-13	0.999625680493434	0	0	0	0	0	0	0	0	0
2020-05-14	0.999625256359001	0	0	0	0	0	0	0	0	0
2020-05-15	0.999624830157826	0	0	0	0	0	0	0	0	0
2020-05-16	0.999624402475362	0	0	0	0	0	0	0	0	0
2020-05-17	0.999623973899736	0	0	0	0	0	0	0	0	0
2020-05-18	0.999623545021761	0	0	0	0	0	0	0	0	0
2020-05-19	0.999623116434951	0	0	0	0	0	0	0	0	0
2020-05-20	0.999622688735518	0	0	0	0	0	0	0	0	0
2020-05-21	0.999622262522365	0	0	0	0	0	0	0	0	0
2020-05-22	0.999621838397065	0	0	0	0	0	0	0	0	0
2020-05-23	0.999621416963832	0	0	0	0	0	0	0	0	0
2020-05-24	0.999620998829486	0	0	0	0	0	0	0	0	0
2020-05-25	0.999620584603405	0	0	0	0	0	0	0	0	0
2020-05-26	0.999620174897465	0	0	0	0	0	0	0	0	0
2020-05-27	0.999619770325972	0	0	0	0	0	0	0	0	0
2020-05-28	0.999619371505592	0	0	0	0	0	0	0	0	0
2020-05-29	0.999618979055256	0	0	0	0	0	0	0	0	0
2020-05-30	0.999618593596066	0	0	0	0	0	0	0	0	0
2020-05-31	0.99961821575119	0	0	0	0	0	0	0	0	0
2020-06-01	0.999617846145739	0	0	0	0	0	0	0	0	0
2020-06-02	0.999617485406648	0	0	0	0	0	0	0	0	0
2020-06-03	0.999617134162529	0	0	0	0	0	0	0	0	0
2020-06-04	0.999616793043532	0	0	0	0	0	0	0	0	0
2020-06-05	0.999616462681181	0	0	0	0	0	0	0	0	0
2020-06-06	0.999616143708207	0	0	0	0	0	0	0	0	0
2020-06-07	0.999615836758373	0	0	0	0	0	0	0	0	0
2020-06-08	0.999615542466278	0	0	0	0	0	0	0	0	0
2020-06-09	0.999615261467166	0	0	0	0	0	0	0	0	0
2020-06-10	0.999614994396711	0	0	0	0	0	0	0	0	0
2020-06-11	0.9996147418908	0	0	0	0	0	0	0	0	0
2020-06-12	0.999614504585302	0	0	0	0	0	0	0	0	0
2020-06-13	0.999614283115827	0	0	0	0	0	0	0	0	0
2020-06-14	0.999614078117481	0	0	0	0	0	0	0	0	0
2020-06-22	0.999613106921114	0	0	0	0	0	0	0	0	0
2020-06-23	0.999613078522269	0	0	0	0	0	0	0	0	0
2020-06-24	0.99961307285559	0	0	0	0	0	0	0	0	0
2020-06-25	0.999613090531288	0	0	0	0	0	0	0	0	0
2020-06-26	0.999613132155314	0	0	0	0	0	0	0	0	0
2020-06-27	0.999613198328985	0	0	0	0	0	0	0	0	0
2020-06-28	0.999613289648606	0	0	0	0	0	0	0	0	0
2020-06-29	0.999613406705084	0	0	0	0	0	0	0	0	0
2020-06-30	0.999613550083532	0	0	0	0	0	0	0	0	0
2020-07-01	0.999613720362867	0	0	0	0	0	0	0	0	0
2020-07-02	0.999613918115198	0	0	0	0	0	0	0	0	0
