destatis_categ;divi2model_categ;icu_categ;icuage_categ;model_categ;impf_categ;rki_categ;divi_categ;hosp_categ;dunkelziffer_categ
unter 1 Jahr;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;00-04;A00-A04;Kinder;00-04;Dunkelziffer_0-14
1-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;00-04;A00-A04;Kinder;00-04;Dunkelziffer_0-14
2-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;00-04;A00-A04;Kinder;00-04;Dunkelziffer_0-14
3-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;00-04;A00-A04;Kinder;00-04;Dunkelziffer_0-14
4-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;00-04;A00-A04;Kinder;00-04;Dunkelziffer_0-14
5-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;05-11;A05-A14;Kinder;05-14;Dunkelziffer_0-14
6-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;05-11;A05-A14;Kinder;05-14;Dunkelziffer_0-14
7-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;05-11;A05-A14;Kinder;05-14;Dunkelziffer_0-14
8-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;05-11;A05-A14;Kinder;05-14;Dunkelziffer_0-14
9-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;05-11;A05-A14;Kinder;05-14;Dunkelziffer_0-14
10-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;05-11;A05-A14;Kinder;05-14;Dunkelziffer_0-14
11-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;05-11;A05-A14;Kinder;05-14;Dunkelziffer_0-14
12-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;12-17;A05-A14;Kinder;05-14;Dunkelziffer_0-14
13-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;12-17;A05-A14;Kinder;05-14;Dunkelziffer_0-14
14-Jährige;A0-14;Stratum_17_Minus;altersgruppe_0_bis_17;A00-A14;12-17;A05-A14;Kinder;05-14;Dunkelziffer_0-14
15-Jährige;A15-17;Stratum_17_Minus;altersgruppe_0_bis_17;A15-A34;12-17;A15-A34;Kinder;15-34;Dunkelziffer_15-34
16-Jährige;A15-17;Stratum_17_Minus;altersgruppe_0_bis_17;A15-A34;12-17;A15-A34;Kinder;15-34;Dunkelziffer_15-34
17-Jährige;A15-17;Stratum_17_Minus;altersgruppe_0_bis_17;A15-A34;12-17;A15-A34;Kinder;15-34;Dunkelziffer_15-34
18-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
19-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
20-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
21-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
22-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
23-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
24-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
25-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
26-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
27-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
28-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
29-Jährige;A18-29;Stratum_18_Bis_29;altersgruppe_18_bis_29;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
30-Jährige;A30-34;Stratum_30_Bis_39;altersgruppe_30_bis_39;A15-A34;18-59;A15-A34;Erwachsene;15-34;Dunkelziffer_15-34
