anteil_positiv_tests,region,DatumDesMittwochs,Alter,typ,logit_anteil_positiv_tests,dunkelziffer_aus_posrate_logit
0.0381418987985242,Baden-Württemberg,2020-03-18,0-14,alterspezifisch,-3.22755355194039,0.826312842311604
0.029222385398245,Bavaria,2020-03-18,0-14,alterspezifisch,-3.50316237607762,0.774180555248513
0.0196785404663081,Berlin,2020-03-18,0-14,alterspezifisch,-3.90835181223366,0.697537682630978
0.0190354184242454,Brandenburg,2020-03-18,0-14,alterspezifisch,-3.94223498307687,0.691128572927993
0.0255534442590175,Bremen,2020-03-18,0-14,alterspezifisch,-3.64109756247197,0.74808967533666
0.0196785404663081,Hamburg,2020-03-18,0-14,alterspezifisch,-3.90835181223366,0.697537682630978
0.0332951081111152,Hesse,2020-03-18,0-14,alterspezifisch,-3.36848278723307,0.799655628512812
0.0080806728713387,Mecklenburg Western Pomerania,2020-03-18,0-14,alterspezifisch,-4.81016663529741,0.526956536033504
0.0174358974358974,Lower Saxony,2020-03-18,0-14,alterspezifisch,-4.03163443391465,0.674218382011765
0.0239056777066653,Northrhine-Westphalia,2020-03-18,0-14,alterspezifisch,-3.70944323176491,0.735161874268418
0.0187145695671582,Rhineland Palatinate,2020-03-18,0-14,alterspezifisch,-3.95956103415069,0.687851295173634
0.0139580610449627,Saarland,2020-03-18,0-14,alterspezifisch,-4.25764169407493,0.631468388785308
0.0190354184242454,Saxony,2020-03-18,0-14,alterspezifisch,-3.94223498307687,0.691128572927993
0.00716733544211832,Saxony-Anhalt,2020-03-18,0-14,alterspezifisch,-4.93102817518088,0.504095190748874
0.00747134338305374,Schleswig Holstein,2020-03-18,0-14,alterspezifisch,-4.88918106524538,0.512010704901033
0.0080806728713387,Thuringia,2020-03-18,0-14,alterspezifisch,-4.81016663529741,0.526956536033504
0.110426082926696,Baden-Württemberg,2020-03-18,15-34,alterspezifisch,-2.08639623889746,1.04216638333639
0.0861162645194635,Bavaria,2020-03-18,15-34,alterspezifisch,-2.36200506303469,0.990034096273302
0.0591228831958315,Berlin,2020-03-18,15-34,alterspezifisch,-2.76719449919073,0.913391223655766
0.0572659684159114,Brandenburg,2020-03-18,15-34,alterspezifisch,-2.80107767003394,0.906982113952782
0.0758623688644888,Bremen,2020-03-18,15-34,alterspezifisch,-2.49994024942904,0.963943216361449
0.0591228831958315,Hamburg,2020-03-18,15-34,alterspezifisch,-2.76719449919073,0.913391223655766
0.0973233492171545,Hesse,2020-03-18,15-34,alterspezifisch,-2.22732547419014,1.0155091695376
0.0248675559403664,Mecklenburg Western Pomerania,2020-03-18,15-34,alterspezifisch,-3.66900932225448,0.742810077058293
0.0526263256394261,Lower Saxony,2020-03-18,15-34,alterspezifisch,-2.89047712087171,0.890071923036554
0.0712075851014697,Northrhine-Westphalia,2020-03-18,15-34,alterspezifisch,-2.56828591872197,0.951015415293207
0.0563377377431695,Rhineland Palatinate,2020-03-18,15-34,alterspezifisch,-2.81840372110776,0.903704836198422
